./35_6%12_4.out:Avg angular diffs   : 82.93
./26_28%32_3.out:Avg angular diffs   : 85.76
./48_31%32_4.out:Avg angular diffs   : 90.00
./47_40%39_3.out:Avg angular diffs   : 104.38
./54_36%25_1.out:Avg angular diffs   : 79.09
./27_29%31_3.out:Avg angular diffs   : 88.18
./34_19%10_3.out:Avg angular diffs   : 78.89
./28_9%19_2.out:Avg angular diffs   : 93.67
./47_40%29_3.out:Avg angular diffs   : 101.55
./28_31%26_3.out:Avg angular diffs   : 99.78
./27_29%25_3.out:Avg angular diffs   : 88.54
./39_19%10_3.out:Avg angular diffs   : 83.86
./38_19%11_4.out:Avg angular diffs   : 94.72
./27_25%37_4.out:Avg angular diffs   : 88.67
./59_29%30_3.out:Avg angular diffs   : 83.16
./35_10%20_3.out:Avg angular diffs   : 70.00
./28_32%31_3.out:Avg angular diffs   : 92.88
./61_16%6_1.out:Avg angular diffs   : 90.38
./46_39%29_3.out:Avg angular diffs   : 83.43
./44_27%38_2.out:Avg angular diffs   : 68.40
./26_29%30_3.out:Avg angular diffs   : 89.07
./63_10%19_3.out:Avg angular diffs   : 92.03
./28_36%41_4.out:Avg angular diffs   : 80.73
./26_31%30_3.out:Avg angular diffs   : 82.58
./44_29%30_3.out:Avg angular diffs   : 74.19
./33_16%15_1.out:Avg angular diffs   : 87.67
./26_9%19_2.out:Avg angular diffs   : 89.01
./31_22%11_4.out:Avg angular diffs   : 87.08
./61_20%19_3.out:Avg angular diffs   : 94.15
./36_19%10_3.out:Avg angular diffs   : 75.70
./33_21%22_4.out:Avg angular diffs   : 90.00
./64_6%5_1.out:Avg angular diffs   : 85.11
./28_31%29_3.out:Avg angular diffs   : 95.82
./47_30%40_3.out:Avg angular diffs   : 88.97
./56_26%36_1.out:Avg angular diffs   : 84.18
./39_20%19_3.out:Avg angular diffs   : 107.42
./48_29%40_3.out:Avg angular diffs   : 90.56
./45_38%37_2.out:Avg angular diffs   : 90.79
./28_36%29_3.out:Avg angular diffs   : 101.12
./28_37%39_4.out:Avg angular diffs   : 80.11
./27_7%5_1.out:Avg angular diffs   : 88.41
./28_11%7_1.out:Avg angular diffs   : 97.91
./46_25%35_1.out:Avg angular diffs   : 84.71
./28_9%8_1.out:Avg angular diffs   : 72.29
./34_9%10_3.out:Avg angular diffs   : 75.00
./28_5%8_1.out:Avg angular diffs   : 93.35
./31_22%12_4.out:Avg angular diffs   : 94.50
./46_40%39_3.out:Avg angular diffs   : 92.93
./47_38%32_4.out:Avg angular diffs   : 92.05
./39_10%12_4.out:Avg angular diffs   : 94.62
./42_30%39_3.out:Avg angular diffs   : 86.25
./47_26%25_1.out:Avg angular diffs   : 75.71
./43_25%36_1.out:Avg angular diffs   : 83.77
./32_16%15_1.out:Avg angular diffs   : 74.51
./28_11%5_1.out:Avg angular diffs   : 88.35
./56_40%26_1.out:Avg angular diffs   : 79.08
./38_16%5_1.out:Avg angular diffs   : 107.31
./26_12%11_1.out:Avg angular diffs   : 93.08
./56_40%29_3.out:Avg angular diffs   : 71.89
./56_29%39_3.out:Avg angular diffs   : 88.27
./27_12%26_3.out:Avg angular diffs   : 99.47
./45_42%41_4.out:Avg angular diffs   : 87.52
./28_7%12_1.out:Avg angular diffs   : 102.13
./27_31%29_3.out:Avg angular diffs   : 92.55
./42_35%36_1.out:Avg angular diffs   : 85.05
./26_32%31_3.out:Avg angular diffs   : 102.86
./26_41%38_4.out:Avg angular diffs   : 84.22
./43_35%42_4.out:Avg angular diffs   : 63.98
./59_25%36_1.out:Avg angular diffs   : 90.00
./28_5%42_4.out:Avg angular diffs   : 103.02
./46_25%36_1.out:Avg angular diffs   : 86.64
./28_39%41_4.out:Avg angular diffs   : 96.87
./37_10%21_4.out:Avg angular diffs   : 98.38
./27_25%26_3.out:Avg angular diffs   : 95.75
./27_41%39_4.out:Avg angular diffs   : 92.86
./28_36%37_4.out:Avg angular diffs   : 87.00
./28_41%38_4.out:Avg angular diffs   : 71.13
./34_15%17_2.out:Avg angular diffs   : 87.63
./38_5%7_2.out:Avg angular diffs   : 83.88
./43_32%42_4.out:Avg angular diffs   : 77.53
./28_8%12_1.out:Avg angular diffs   : 99.10
./37_6%5_1.out:Avg angular diffs   : 73.33
./28_25%29_3.out:Avg angular diffs   : 79.94
./26_26%28_3.out:Avg angular diffs   : 77.82
./61_11%11_4.out:Avg angular diffs   : 106.41
./56_26%35_1.out:Avg angular diffs   : 84.38
./54_36%35_1.out:Avg angular diffs   : 80.60
./32_10%19_3.out:Avg angular diffs   : 85.00
./35_7%17_2.out:Avg angular diffs   : 96.96
./47_36%25_1.out:Avg angular diffs   : 94.29
./27_12%32_3.out:Avg angular diffs   : 87.97
./28_36%42_4.out:Avg angular diffs   : 91.12
./26_21%21_2.out:Avg angular diffs   : 80.47
./35_9%19_3.out:Avg angular diffs   : 102.41
./27_11%12_1.out:Avg angular diffs   : 93.09
./37_17%19_3.out:Avg angular diffs   : 93.40
./64_5%6_1.out:Avg angular diffs   : 85.46
./56_27%37_2.out:Avg angular diffs   : 82.72
./36_5%11_4.out:Avg angular diffs   : 78.66
./54_35%39_3.out:Avg angular diffs   : 96.52
./45_40%30_3.out:Avg angular diffs   : 83.47
./33_20%9_3.out:Avg angular diffs   : 97.58
./46_30%31_4.out:Avg angular diffs   : 88.56
./26_21%18_2.out:Avg angular diffs   : 83.71
./47_39%30_3.out:Avg angular diffs   : 86.25
./26_10%12_1.out:Avg angular diffs   : 95.76
./26_19%18_2.out:Avg angular diffs   : 90.48
./54_31%41_4.out:Avg angular diffs   : 103.45
./26_9%17_2.out:Avg angular diffs   : 87.80
./27_5%10_1.out:Avg angular diffs   : 79.22
./54_25%26_1.out:Avg angular diffs   : 90.00
./46_39%40_3.out:Avg angular diffs   : 83.04
./27_32%29_3.out:Avg angular diffs   : 85.75
./34_16%15_1.out:Avg angular diffs   : 105.41
./54_40%41_4.out:Avg angular diffs   : 90.52
./26_38%39_4.out:Avg angular diffs   : 86.42
./26_15%19_2.out:Avg angular diffs   : 90.99
./45_30%29_3.out:Avg angular diffs   : 83.27
./26_6%10_1.out:Avg angular diffs   : 73.78
./26_11%5_1.out:Avg angular diffs   : 84.29
./26_15%21_2.out:Avg angular diffs   : 97.94
./26_10%11_1.out:Avg angular diffs   : 86.92
./48_40%39_3.out:Avg angular diffs   : 92.61
./27_5%11_1.out:Avg angular diffs   : 120.39
./64_15%16_1.out:Avg angular diffs   : 97.50
./38_21%11_4.out:Avg angular diffs   : 77.30
./28_5%12_1.out:Avg angular diffs   : 97.58
./27_31%28_3.out:Avg angular diffs   : 87.33
